PosterID	FigureID	Type	PersonatedMaxIntimacy	PosterName	TalkList	facelist	cvlist	height	threesize	seriesname	description	brithday	hobby	FirstSightDialogue	SeriesID	Live2D	Group	GroupName	IsOpen	BackGround	DialogueX	DialogueY	isPDAS	IsEntry	PartsNum
17	1017	6	99	80009	81179;81180;81181;81182;81183;81184;81185;81186;	1;2;2;2;1;3;2;2;	1;2;3;4;5;6;7;8;	161cm	??/??/??	205017	81108	2/5	204584	81179	7	0	10107	0	1	0	-150	0	0	0	0
18	1018	6	99	80010	81187;81188;81189;81190;81191;81192;81193;81194;	2;1;3;1;4;4;5;1;	1;2;3;4;5;6;7;8;	167cm	??/??/??	205018	81109	10/6	204584	81187	7	0	10108	0	1	0	-150	0	0	0	0
19	1019	3	99	80011	204137;204138;204139;204140;204141;204142;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	205019	81000	7/22	81002	81001	7	1	2001	0	1	0	-150	0	0	0	0
20	10201	2	99	80012	81214;81216;81217;	0;0;0;	0;0;0;	168cm	92/61/86	205020	81220	9/13	81221	81216	1	0	1010	0	1	0	-150	0	0	0	0
21	1021	2	99	71699	81222;81223;81224;81225;81226;81227;	1;2;4;2;1;1;	0;0;0;0;0;0;	160cm	84/54/83	205021	81228	3/29	81229	81227	8	0	1011	0	1	0	-150	0	0	0	0
22	1022	2	99	72303	81230;81231;81232;81233;81234;81235;	1;3;1;4;2;1;	0;0;0;0;0;0;	158cm	85/56/82	205022	81236	10/20	81237	81230	8	0	1012	0	1	0	-150	0	0	0	0
23	1023	2	99	12327	81238;81239;81240;81241;81242;81243;	4;1;3;4;2;1;	0;0;0;0;0;0;	162cm	86/62/85	205023	81244	5/15	81245	81243	1	0	1013	0	1	0	-150	0	0	0	0
24	1024	2	99	204590	81246;81247;81248;81249;81250;81251;	1;1;4;2;3;1;	0;0;0;0;0;0;	163cm	82/55/81	205024	81252	11/27	81253	81251	8	0	1014	0	1	0	-150	0	0	0	0
25	1025	2	99	12271	81256;81257;81258;81259;81260;81261;	1;3;2;3;1;1;	0;0;0;0;0;0;	163cm	86/56/80	205025	81262	9/18	81263	81258	1	0	1015	0	1	0	-150	0	0	0	0
26	1026	1	0	204603	81222;81223;81224;81225;81226;81227;	1;2;3;2;1;1;	0;0;0;0;0;0;	149cm	74/56/78	205026	81254	10/18	81255	155032	7	1	6	0	1	0	-150	0	0	0	0
27	1027	2	99	11053	81264;81265;81266;81267;81268;81269;	1;2;3;1;1;3;	0;0;0;0;0;0;	161cm	82/60/80	205027	81270	5/6	81271	81265	1	0	1016	0	1	0	-150	0	0	0	0
28	1028	2	99	71870	81272;81273;81274;81275;81276;81277;	1;2;1;3;1;1;	0;0;0;0;0;0;	144cm	70/56/69	205028	81278	4/6	81279	81272	7	0	1017	0	1	0	-150	0	0	0	0
29	1029	2	99	204593	81280;81281;81282;81283;81284;81285;	3;2;1;1;1;2;	0;0;0;0;0;0;	138cm	68/52/69	205029	81286	6/22	81287	81281	1	0	1018	0	1	0	-150	0	0	0	0
30	1030	2	99	204595	81297;81298;81299;81300;81301;81302;	2;1;3;5;5;4;	0;0;0;0;0;0;	166cm	89/61/83	205031	81303	12/22	81304	81302	1	0	1019	0	1	0	-150	0	0	0	0
31	10311	2	99	121012	81288;81289;81290;81291;81292;81293;	1;2;1;3;1;1;	0;0;0;0;0;0;	120cm	64/51/67	205030	81294	12/24	81295	81288	2	0	1020	0	1	0	-150	0	0	0	0
32	1032	2	99	204596	81312;81313;81314;81315;81316;81317;	2;1;2;4;3;2;	0;0;0;0;0;0;	151cm	70/54/71	81320	81318	9/19	81319	81312	1	0	1021	0	1	0	-150	0	0	0	0
33	1033	1	0	204604	81307;81308;81309;81310;81311;	5;3;2;4;2;	1;2;3;4;5;	125cm	60/48/69	205032	81305	9/9	81306	81307	7	0	7	0	1	0	-150	0	0	0	0
34	1034	1	0	291589	81222;81223;81224;81225;81226;81227;	1;2;3;2;1;1;	0;0;0;0;0;0;	145cm	70/58/73	205034	81348	3/28	81349	155074	7	1	5	0	1	0	-150	0	0	0	0
35	1035	2	99	204598	81376;81377;81378;81379;81380;81381;	1;1;3;1;1;3;	0;0;0;0;0;0;	175cm	94/54/89	81384	81382	6/6	81383	81379	3	0	1022	0	1	0	-150	0	0	0	0
36	1036	2	99	204599	81367;81368;81369;81370;81371;81372;	1;1;1;4;2;3;	0;0;0;0;0;0;	167cm	88/58/86	81375	81373	12/17	81374	81372	7	0	1023	0	1	0	-150	0	0	0	0
37	1037	2	99	204600	81350;81351;81352;81353;81354;81355;	3;1;3;1;4;2;	0;0;0;0;0;0;	166cm	86/59/88	81358	81356	4/14	81357	81350	7	0	1084	0	1	001	-150	0	0	0	0
38	1038	1	0	204601	81321;81322;81323;81324;81325;81326;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	95/61/92	81329	81327	6/11	81328	81321	7	0	4	0	1	001	-150	0	0	0	0
39	1039	3	99	1642	81330;81331;81332;81333;81334;81335;	1;1;3;2;1;3;	0;0;0;0;0;0;	72cm	??/??/??	81338	81336	-	81337	81332	7	0	2101	0	1	001	-150	0	0	0	0
40	1040	3	99	1650	81339;81340;81341;81342;81343;81344;	3;3;3;2;1;1;	0;0;0;0;0;0;	57cm	??/??/??	81347	81345	-	81346	81340	7	0	2102	0	1	001	-150	0	0	0	0
41	1041	1	0	204602	81359;81360;81361;81362;81363;81364;	0;0;0;0;0;0;	0;0;0;0;0;0;	147cm	74/55/76	205033	81365	8/18	81366	81361	7	0	3	0	1	001	-150	0	0	0	0
42	1042	3	0	204605	81385;81386;81387;81388;81389;81390;	0;0;0;0;0;0;	0;0;0;0;0;0;	120cm	51/37/52	81393	81391	7/22	81392	81385	7	1	2001	0	1	0	-150	0	0	0	0
43	1043	1	0	15859	155101;155102;155103;155104;155105;155106;155107;	0;0;0;0;0;0;0;	0;0;0;0;0;0;0;	148cm	75/57/75	155111	155112	9/9	155113	155106	7	1	7	0	1	0	-150	0	0	0	0
44	1044	5	0	204606	155092;155093;155094;155095;155096;155097;155098;155099;155100;	0;0;0;0;0;0;0;0;0;	0;0;0;0;0;0;0;0;0;	166cm	87/63/91	155108	155109	-	155110	155095	7	3	4001	0	1	0	-150	0	0	0	0
45	1045	1	0	10745	81359;81360;81361;81362;81363;81364;	0;0;0;0;0;0;	0;0;0;0;0;0;	147cm	74/55/76	205033	81365	8/18	81366	155118	7	1	3	0	1	0	-150	0	0	0	0
46	1046	2	99	204624	81394;81395;81396;81397;81398;81399;	1;4;1;4;3;2;	0;0;0;0;0;0;	122cm	70/49/71	81402	81400	2/19	81401	81394	7	2	1024	0	1	0	-150	0	0	0	0
47	1047	1	0	204626	81222;81223;81224;81225;81226;81227;	1;2;3;2;1;1;	0;0;0;0;0;0;	149cm	74/56/78	205026	81254	10/18	81255	155133	7	2	6	0	1	001	-150	0	0	0	0
48	1048	1	0	204627	81222;81223;81224;81225;81226;81227;	1;2;3;2;1;1;	0;0;0;0;0;0;	149cm	74/56/78	205026	81254	10/18	81255	155133	7	2	6	0	1	001	-150	0	0	0	0
49	1049	2	99	71694	81403;81404;81405;81406;81407;81408;	1;3;4;2;2;1;	0;0;0;0;0;0;	167cm	89/58/91	81411	81409	3/3	81410	81407	9	0	1025	0	1	0	-150	0	0	0	0
50	1050	2	99	71695	81403;81404;81405;81406;81407;81408;	1;3;4;2;2;1;	0;0;0;0;0;0;	167cm	89/58/91	81411	81409	3/3	81410	81407	9	0	1025	0	1	0	-150	0	0	0	0
51	1051	2	99	71696	81403;81404;81405;81406;81407;81408;	1;3;4;2;2;1;	0;0;0;0;0;0;	167cm	89/58/91	81411	81409	3/3	81410	81407	9	0	1025	0	1	0	-150	0	0	0	0
52	1052	2	99	72023	81421;81422;81423;81424;81425;81426;	1;1;3;2;3;2;	0;0;0;0;0;0;	141cm	73/53/76	81429	81427	8/10	81428	81426	8	0	1026	0	1	0	-150	0	0	0	0
53	1053	2	99	204637	81430;81431;81432;81433;81434;81435;	1;2;2;3;2;1;	0;0;0;0;0;0;	152cm	78/65/80	81438	81436	3/25	81437	81434	11	0	1027	0	1	0	-150	0	0	0	0
54	1054	2	99	204638	81439;81440;81441;81442;81443;81444;	1;4;3;4;1;1;	0;0;0;0;0;0;	161cm	85/64/89	81447	81445	7/24	81446	81439	1	0	1028	0	1	0	-150	0	0	0	0
55	1055	2	99	204639	81448;81449;81450;81451;81452;81453;	1;3;1;2;5;4;	0;0;0;0;0;0;	167cm	87/60/88	81456	81454	4/6	81455	81453	10	0	1029	0	1	0	-150	0	0	0	0
56	1056	6	99	73428	81457;81458;81459;81460;81461;81462;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81465	81463	-	81464	81462	7	0	10201	0	1	0	-150	0	0	0	0
57	1057	6	99	73429	81466;81467;81468;81469;81470;81471;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81474	81472	-	81473	81467	7	0	10202	0	1	0	-150	0	0	0	0
58	1058	6	99	204640	81475;81476;81477;81478;81479;81480;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81483	81481	-	81482	81475	7	0	10203	0	1	0	-150	0	0	0	0
59	1059	6	99	73441	81484;81485;81486;81487;81488;81489;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81492	81490	-	81491	81484	7	0	10204	0	1	0	-150	0	0	0	0
60	1060	6	99	73430	81493;81494;81495;81496;81497;81498;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81501	81499	-	81500	81498	7	0	10205	0	1	0	-150	0	0	0	0
61	1061	1	0	204629	81412;81413;81414;81415;81416;81417;	0;0;0;0;0;0;	0;0;0;0;0;0;	122cm	59/44/66	81420	81418	4/13	81419	81412	7	0	2	0	1	0	-150	0	0	0	0
62	1062	2	99	204641	81511;81512;81513;81514;81515;81516;	1;4;3;2;1;4;	0;0;0;0;0;0;	152cm	81/60/83	81519	81517	5/4	81518	81511	6	0	1030	0	1	0	-150	0	0	0	0
63	1063	2	99	204642	81502;81503;81504;81505;81506;81507;	4;1;4;2;3;1;	0;0;0;0;0;0;	146cm	70/55/67	81510	81508	10/24	81509	81507	3	0	1031	0	1	0	-150	0	0	0	0
64	1064	2	99	204643	81520;81521;81522;81523;81524;81525;	4;1;2;3;4;1;	0;0;0;0;0;0;	162cm	79/63/82	81528	81526	12/25	81527	81522	1	0	1032	0	1	0	-150	0	0	0	0
65	1065	6	0	71822	81529;81530;81531;81532;81533;81534;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81537	81535	-	81536	81529	7	2	10301	0	1	0	-150	0	0	0	0
66	1066	1	0	291541	155101;155102;155103;155104;155105;155106;155107;	0;0;0;0;0;0;0;	0;0;0;0;0;0;0;	172cm	89/62/90	81547	81545	4/13	81546	81538	7	1	2	0	1	0	-150	0	0	0	0
67	1067	1	0	204556	155101;155102;155103;155104;155105;155106;155107;	0;0;0;0;0;0;0;	0;0;0;0;0;0;0;	167cm	95/61/92	81329	81327	6/11	81328	81554	7	1	4	0	1	0	-150	0	0	0	0
68	1068	2	99	204648	81563;81564;81565;81566;81567;81568;	0;0;0;0;0;0;	0;0;0;0;0;0;	122cm	70/49/71	81402	81400	2/19	81401	81563	7	2	1024	0	1	0	-150	0	0	0	0
69	1069	2	99	204649	81569;81570;81571;81572;81573;81574;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	88/62/85	81547	204078	7/23	204079	81569	7	2	1001	0	1	0	-150	0	0	0	0
70	1070	2	99	204652	81575;81576;81577;81578;81579;81580;	0;0;0;0;0;0;	0;0;0;0;0;0;	162cm	79/63/82	81528	81526	12/25	81527	81575	1	2	1032	0	1	0	-150	0	0	0	0
71	1071	2	99	204653	81581;81582;81583;81584;81585;81586;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	88/58/86	81375	81373	12/17	81374	81586	7	2	1023	0	1	0	-150	0	0	0	0
72	1072	2	99	204655	81587;81588;81589;81590;81591;81592;	0;0;0;0;0;0;	0;0;0;0;0;0;	146cm	70/55/67	81510	81508	10/24	81509	81587	3	2	1031	0	1	0	-150	0	0	0	0
73	1073	2	99	204657	81593;81594;81595;81596;81597;81598;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	87/60/88	81456	81454	4/6	81455	81593	10	2	1029	0	1	0	-150	0	0	0	0
74	1074	2	99	204650	81599;81600;81601;81602;81603;81604;	0;0;0;0;0;0;	0;0;0;0;0;0;	167cm	89/58/91	81411	81409	3/3	81410	81603	9	2	1025	0	1	0	-150	0	0	0	0
75	1075	2	99	204659	81605;81606;81607;81608;81609;81610;	0;0;0;0;0;0;	0;0;0;0;0;0;	161cm	85/64/89	81447	81445	7/24	81446	81606	1	2	1028	0	1	0	-150	0	0	0	0
76	1076	2	99	204658	81611;81612;81613;81614;81615;81616;	0;0;0;0;0;0;	0;0;0;0;0;0;	152cm	81/60/83	81519	81517	5/4	81518	81611	6	2	1030	0	1	0	-150	0	0	0	0
77	1077	2	99	204656	81617;81618;81619;81620;81621;81622;	0;0;0;0;0;0;	0;0;0;0;0;0;	152cm	78/65/80	81438	81436	3/25	81437	81617	11	2	1027	0	1	0	-150	0	0	0	0
78	1078	2	99	204651	81623;81624;81625;81626;81627;81628;	0;0;0;0;0;0;	0;0;0;0;0;0;	165cm	90/62/84	205008	204144	-	204145	81627	1	2	1007	0	1	0	-150	0	0	0	0
79	1079	2	99	204654	81629;81630;81631;81632;81633;81634;	0;0;0;0;0;0;	0;0;0;0;0;0;	141cm	73/53/76	81429	81427	8/10	81428	81629	8	2	1026	0	1	0	-150	0	0	0	0
80	1080	2	99	291574	81644;81645;81646;81647;81648;81649;	0;0;0;0;0;0;	0;0;0;0;0;0;	157cm	79/59/81	81652	81650	1/17	81651	81644	7	0	1033	0	1	0	-150	0	0	0	0
81	1081	2	99	291571	81653;81654;81655;81656;81657;81658;	0;0;0;0;0;0;	0;0;0;0;0;0;	161cm	81/59/82	81661	81659	1/16	81660	81655	7	0	1034	0	1	0	-150	0	0	0	0
82	1082	3	99	291565	234983;234983;234983;234983;234983;234983;	0;0;0;0;0;0;	0;0;0;0;0;0;	157cm	76/57/78	81727	81725	4/26	81726	81561	7	1	2003	0	1	0	-150	0	0	0	0
83	1083	1	0	204592	155101;155102;155103;155104;155105;155106;155107;	0;0;0;0;0;0;0;	0;0;0;0;0;0;0;	159cm	86/56/88	81709	320129	12/24	81708	81706	7	1	8	0	1	0	-150	0	0	0	0
84	1084	1	0	81643	155092;155093;155094;155095;155096;155097;155098;155099;155100;	0;0;0;0;0;0;0;0;0;	0;0;0;0;0;0;0;0;0;	166cm	92/65/94	81642	81640	12/25	81641	81635	7	3	102	0	1	0	-150	0	0	0	0
85	1085	2	99	204660	81662;81663;81664;81665;81666;81667;	0;0;0;0;0;0;	0;0;0;0;0;0;	172cm	88/53/89	81679	81677	-	81678	81662	6	2	1035	0	1	0	-150	0	0	0	0
86	1086	1	0	204661	81668;81669;81670;81671;81672;81673;	0;0;0;0;0;0;	0;0;0;0;0;0;	161cm	87/59/89	81676	81674	6/11	81675	81668	7	2	4	0	1	0	-150	0	0	0	0
87	1087	5	0	81684	81668;81669;81670;81671;81672;81673;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81680	81681	-	81682	81683	7	3	4002	0	1	0	-150	0	0	0	0
88	1088	1	0	204672	81685;81686;81687;81688;81689;81690;	0;0;0;0;0;0;	0;0;0;0;0;0;	145cm	70/58/73	205034	81691	3/28	81692	81685	7	2	5	0	1	0	-150	0	0	0	0
89	1089	1	0	204674	81694;81695;81696;81697;81698;	0;0;0;0;0;	0;0;0;0;0;	163cm	84/59/87	81701	81699	12/7	81700	81698	7	3	1	0	1	0	-150	0	0	0	0
90	1090	1	0	204675	81710;81711;81712;81713;81714;81715;	0;0;0;0;0;0;	0;0;0;0;0;0;	172cm	89/62/90	81547	81545	4/13	81546	81715	7	0	2	0	1	0	-150	0	0	0	0
91	1091	2	99	204676	81716;81717;81718;81719;81720;81721;	3;1;2;2;4;1;	0;0;0;0;0;0;	165cm	84/61/85	81724	81722	7/19	81723	81718	5	0	1036	0	1	0	-150	0	0	0	0
92	1092	3	0	204677	234983;234983;234983;234983;234983;234983;	0;0;0;0;0;0;	0;0;0;0;0;0;	157cm	76/57/78	81727	81734	4/26	81726	81733	7	2	2003	0	1	0	-150	0	0	0	0
93	1093	6	99	903	81735;81736;81737;81738;81739;81740;	0;0;0;0;0;0;	0;0;0;0;0;0;	165cm	??/??/??	81743	81741	3/14	81742	81735	7	0	10302	0	1	003	-150	0	0	0	0
94	1094	2	0	204678	81744;81745;81746;81747;81748;	0;0;0;0;0;	0;0;0;0;0;	163cm	82/55/81	155108	81754	11/27	81253	81746	8	2	1014	0	1	0	-150	0	0	0	0
95	1095	2	99	204679	81756;81757;81758;81759;81760;81761;	4;3;2;3;2;1;	0;0;0;0;0;0;	156cm	76/56/77	81764	81762	5/15	81763	81756	9	0	1037	0	1	0	-150	0	0	0	0
96	1096	3	0	204680	81749;81750;81751;81752;81753;	0;0;0;0;0;	0;0;0;0;0;	??	??/??/??	81680	81755	-	81680	81753	7	2	2003	0	1	0	-150	0	0	0	0
97	1097	1	0	204681	81770;81771;81772;81773;81774;	0;0;0;0;0;	0;0;0;0;0;	166cm	90/58/91	81783	81782	8/17	81784	81771	7	2	101	0	1	0	-150	0	0	0	0
98	1098	3	0	204682	81749;81750;81751;81752;81753;	0;0;0;0;0;	0;0;0;0;0;	159cm	79/56/81	81785	81786	5/24	81788	81768	7	2	2002	0	1	0	-150	0	0	0	0
99	1099	3	99	204683	81749;81750;81751;81752;81753;	0;0;0;0;0;	0;0;0;0;0;	159cm	79/56/81	81785	81787	5/24	81788	81780	7	1	2002	0	1	0	-150	0	0	0	0
100	1100	1	0	204684	81789;81790;81791;81792;81793	0;0;0;0;0;	0;0;0;0;0;	145cm	70/58/73	205034	81794	3/28	81349	81789	7	2	5	0	1	0	-150	0	0	0	0
101	1101	2	99	204685	81795;81796;81797;81798;81799;81800;	3;1;1;1;4;2;	0;0;0;0;0;0;	155cm	72/51/70	81803	81801	4/20	81802	81795	1	0	1038	0	1	0	-150	0	0	0	0
102	1102	1	99	204690	81795;81796;81797;81798;81799;81800;	0;0;0;0;0;0;	0;0;0;0;0;0;	166cm	92/65/94	81642	81809	12/25	81810	81807	7	2	102	0	1	001	-150	0	0	0	0
103	1103	2	99	204700	81865;81866;81867;81868;81869;81870;	2;1;3;4;2;5;	0;0;0;0;0;0;	163cm	83/51/86	81872	81873	4/6	81871	81865	10	0	1039	0	1	002	-150	0	0	0	0
104	1104	3	0	81841	81811;81812;81813;81814;81815;	0;0;0;0;0;	0;0;0;0;0;	162cm	72/61/74	81844	81842	-	81843	81813	7	2	2103	0	1	002	-150	0	0	0	0
105	1105	3	0	81845	81816;81817;81818;81819;81820;	0;0;0;0;0;	0;0;0;0;0;	163cm	83/60/84	81848	81846	-	81847	81820	7	2	2104	0	1	002	-150	0	0	0	0
106	1106	3	0	81849	81821;81822;81823;81824;81825;	0;0;0;0;0;	0;0;0;0;0;	138cm	64/59/65	81852	81850	-	81851	81823	7	2	2105	0	1	002	-150	0	0	0	0
107	1107	3	0	81853	81826;81827;81828;81829;81830;	0;0;0;0;0;	0;0;0;0;0;	155cm	71/61/73	81856	81854	-	81855	81829	7	2	2106	0	1	002	-150	0	0	0	0
108	1108	3	0	81857	81831;81832;81833;81834;81835;	0;0;0;0;0;	0;0;0;0;0;	172cm	89/62/84	81860	81858	-	81859	81831	7	2	2107	0	1	002	-150	0	0	0	0
109	1109	3	0	81861	81836;81837;81838;81839;81840;	0;0;0;0;0;	0;0;0;0;0;	160cm	76/62/77	81864	81862	-	81863	81837	7	2	2108	0	1	002	-150	0	0	0	0
110	1110	5	0	204701	81668;81669;81670;81671;81672;81673;	0;0;0;0;0;0;	0;0;0;0;0;0;	??	??/??/??	81874	81875	-	81876	81877	7	3	4003	0	1	0	-150	0	0	0	0
111	1111	2	99	204702	81878;81879;81880;81881;81882;81883;	4;3;2;2;1;4;	0;0;0;0;0;0;	135cm	70/53/72	81885	81886	2/9	81884	81878	1	0	1040	0	1	0	-150	0	0	0	0
112	1112	2	99	204704	81887;81888;81889;81890;81891;81892;	2;1;5;5;3;4;	0;0;0;0;0;0;	172cm	86/69/88	81894	81895	6/19	81893	81889	1	0	1041	0	1	0	-150	0	0	0	0
113	1113	2	0	204707	81920;81921;81922;81923;81924;	0;0;0;0;0;	0;0;0;0;0;	167cm	88/62/85	81926	81927	7/23	81925	81924	7	0	1001	0	1	004	-150	0	0	0	0
114	1114	2	0	204708	81936;81937;81938;81939;81940;	0;0;0;0;0;	0;0;0;0;0;	162cm	79/63/82	81942	81943	12/25	81941	81939	1	0	1032	0	1	004	-150	0	0	0	0
115	1115	2	0	204709	81928;81929;81930;81931;81932;	0;0;0;0;0;	0;0;0;0;0;	167cm	86/58/86	81934	81935	12/17	81933	81929	7	0	1023	0	1	004	-150	0	0	0	0
116	1116	2	0	204710	81896;81897;81898;81899;81900;	0;0;0;0;0;	0;0;0;0;0;	122cm	70/49/71	81902	81903	2/19	81901	81898	7	0	1024	0	1	004	-150	0	0	0	0
117	1117	2	0	204711	81912;81913;81914;81915;81916;	0;0;0;0;0;	0;0;0;0;0;	167cm	87/60/88	81918	81919	4/6	81917	81912	10	0	1029	0	1	004	-150	0	0	0	0
118	1118	2	0	204712	81904;81905;81906;81907;81908;	0;0;0;0;0;	0;0;0;0;0;	146cm	70/55/67	81910	81911	10/24	81909	81908	3	0	1031	0	1	004	-150	0	0	0	0
119	1119	1	0	204614	81944;81945;81946;81947;81948;81949;	0;0;0;0;0;0;	0;0;0;0;0;0;	151cm	73/55/75	81961	81960	1/8	81962	81945	7	1	9	0	1	0	-150	0	0	0	0
120	1120	2	99	204713	81951;81952;81953;81954;81955;81956;	1;1;3;4;2;3;	0;0;0;0;0;0;	170cm	92/52/90	81958	81959	6/6	81957	81952	3	0	1042	0	1	003	-150	0	0	0	0
121	1121	2	0	204714	81963;81964;81965;81966;81967;	0;0;0;0;0;	0;0;0;0;0;	167cm	89/58/91	81969	81970	3/3	81968	81966	9	0	1025	0	1	004	-150	0	0	0	0
124	1124	2	0	204717	82894;82895;82896;82897;82898;82899;	0;0;0;0;0;0;	0;0;0;0;0;0;	152cm	78/65/80	81438	82900	3/25	81437	82896	11	0	1027	0	1	004	-150	0	0	0	0
125	1125	2	0	204718	81971;81972;81973;81974;81975;	0;0;0;0;0;	0;0;0;0;0;	165cm	90/62/84	81977	81978	4/12	81976	81973	1	0	1007	0	1	004	-150	0	0	0	0
126	1126	2	0	204719	82393;82394;82395;82396;82397;	0;0;0;0;0;	0;0;0;0;0;	141cm	73/53/76	82399	82400	8/10	82398	82397	8	0	1026	0	1	004	-150	0	0	0	0
127	1127	1	0	204721	81979;81980;81981;81982;81983;81984;	0;0;0;0;0;0;	0;0;0;0;0;0;	147cm	74/55/76	81986	81987	8/18	81985	81981	7	2	3	0	1	0	-150	0	0	0	0
128	1128	2	99	204722	81988;81989;81990;81991;81992;81993;	1;2;3;4;4;2;	0;0;0;0;0;0;	151cm	82/59/80	81995	81996	3/12	81994	81989	9	0	1043	0	1	0	-150	0	0	0	0
129	1129	1	0	204723	82038;82039;82040;82041;82042;	0;0;0;0;0;	0;0;0;0;0;	149cm	74/56/78	82044	82045	10/18	82043	82042	7	2	6	0	1	0	-150	0	0	0	0
130	1130	1	0	204724	81997;81998;81999;82000;82001;	0;0;0;0;0;	0;0;0;0;0;	148cm	75/57/75	82003	82004	9/9	82002	81999	7	2	7	0	1	0	-150	0	0	0	0
131	1131	2	99	204725	82005;82006;82007;82008;82009;82010;	1;2;4;2;3;1;	0;0;0;0;0;0;	161cm	85/62/87	82012	82013	6/16	82011	82005	6	0	1044	0	1	0	-150	0	0	0	0
