ChoiceID	ChoiceTitle	ChoiceText	ChoiceStoryType	ChoiceStory	MergedStory	isShowMask
88	55489	473549	0	0	3591	0
89	55489	473567	0	0	3593	0
90	55489	473573	0	0	3594	0
91	55489	473582;473583	0;0	3596;3597	3598	0
92	55489	473600	0	0	3599	0
93	473602	473603;473604;473605	1;1;1	94;95;96	0	0
94	473606	473604;473605	1;1	97;95	0	0
95	473607	473604	0	0	3600	0
96	473608	473603;473604	1;1	98;95	0	0
97	473608	473604	0	0	3600	0
98	473606	473604	0	0	3600	0
99	55489	473612	0	0	3601	0
100	55489	473614	0	0	3602	0
101	55489	473618	0	0	3603	0
102	55489	473669	0	0	3604	0
103	55489	473861	0	0	3608	0
104	55489	473863	0	0	3609	0
105	55489	473895	0	0	3610	0
106	473897	473898	0	0	3611	0
107	55489	473904	0	0	3612	0
108	55489	473910;473911	0;0	3613;3614	3615	0
109	55489	473970	0	0	3617	0
110	55489	473976	0	0	3618	0
111	55489	473991;473992	0;0	3619;3620	3621	0
112	55489	474034	0	0	3623	0
113	55489	474105	0	0	3624	0
114	55489	474135	0	0	3626	0
115	474137	474138	0	0	3627	0
116	55489	474140	0	0	3628	0
117	55489	474213	0	0	3631	0
118	474363	474364;474365;474366	0;0;0	3635;3636;3637	3638	0
119	479437	479438;479440	0;0	141;142	143	0
120	479511	479512;479513	0;0	0;0	145	0
121	487724	487725;487726	0;0	0;0	231	0
122	487724	487725;487726	0;0	0;0	3937	0
123	702825	702826;702827;702828	0;0;0;	4314;4315;4316	4317	0
124	702862	702863;702864	1;0	123;4318	0	0
125	702992	702993;702994;702995	0;0;0	4325;4326;4327	4328	0
126	703045	703046;703047;703048	0;0;0	4329;4330;4331	4332	0
127	703402	703403;703404	0;0	4338;4339	4340	0
128	703413	703414	0	0	4341	0
129	703474	703475;703476	0;0	4344;4345	4346	0
130	702825	702826;702827;702828	0;0;0;	306;307;308	309	0
131	702862	702863;702864	1;0	130;310	0	0
132	702992	702993;702994;702995	0;0;0	316;317;318	319	0
133	703045	703046;703047;703048	0;0;0	320;321;322	323	0
134	703402	703403;703404	0;0	329;330	331	0
135	703413	703414	0	0	332	0
136	703474	703475;703476	0;0	335;336	337	0
137	707471	707472;707474;707473	0;0;0	4445;4445;4446	0	0
138	707532	707533	0	4450	0	0
139	707647	707648;707649;707650	0;0;0	4458;4459;4471	0	0
140	708836	708838;708837	0;0	4502;4503	0	0
141	708868	708869;708870;708871	0;0;0	4506;4504;4505	0	0
142	708888	708889	0	4507	0	0
143	709030	709031	0	4510	0	0
144	709038	709039	0	4511	0	0
145	709052	709053	0	4512	0	0
146	709412	709413;709414	0;0	4525;4526	0	0
147	710067	710068	0	4549	0	0
148	715088	715089;715096	0;0	10074;10075	0	0
149	715106	715107;715114	0;0	10076;10077	0	0
150	715128	715129;715130	1;0	149;10078	0	0
151	715136	715137;715143;715149	0;0;0	10080;10081;10082	0	0
152	715169	715170;715171	1;0	151;10084	0	0
153	715183	715184;715187;715203	0;0;0	10086;10087;10088	0	0
154	715210	715211;715212	1;0	153;10089	0	0
155	715227	715228	0	10091	0	0
156	715254	715255;715284;715291	0;0;0	10092;10093;10094	0	0
157	715300	715301;715302	1;0	156;10095	0	0
158	715504	715505	0	10104	0	0
159	715575	715576;715577;715578	0;0;0	10106;10106;10106	0	0
160	715912	715913	0	10116	0	0
161	715962	715963;715967;715972	0;0;0	10118;10119;10120	0	0
162	716023	716024;716025	0;0	10122;10122	0	0
163	715136	715157	0	10083	0	0
164	716430	716431	0	10130	0	0
165	716568	716569	0	10136	0	0
166	716884	716885	0	10140	0	0
167	717213	717214	0	10147	0	0
168	717410	717411	0	10151	0	0
169	717454	717455	0	10152	0	0
170	717537	717538	0	10154	0	0
171	717548	717549	0	10155	0	0
172	717661	717662	0	10159	0	0
173	717686	717687;717688	0;0	10290;10160	0	0
174	717708	717709	0	10164	0	0
175	717713	717714	0	10165	0	0
176	717717	717718	0	10166	0	0
177	717841	717842;717854	0;0	10169;10170	0	0
178	717841	717854	0	10170	0	0
179	717879	717880;717906;717915	0;0;0	10172;10173;10174	0	0
180	717879	717906;717915	0;0	10292;10174	0	0
181	717879	717880;717915	0;0	10291;10174	0	0
182	717879	717915	0	10174	0	0
183	717983	717984	0	10178	0	0
184	718007	718008	0	10180	0	0
185	718019	718020	0	10182	0	0
186	718259	718260	0	10190	0	0
187	718297	718298;718303	0;0	10191;10192	10193	0
188	718530	718531;718537;718549	0;0;0	10205;10206;10207	0	0
189	718530	718537;718549	0;0	10294;10207	0	0
190	718530	718531;718549	0;0	10293;10207	0	0
191	718530	718549	0	10207	0	0
192	718781	718782;718785	0;0	10213;10214	0	0
193	718781	718785	0	10214	0	0
194	719010	719011	0	10222	0	0
195	719010	719018	0	10223	0	0
196	719069	719070;719074	0;0	10224;10225	10226	0
197	719161	719162;719174	0;0	10231;10232	0	0
198	719450	719451;719524	0;0	10248;10249	0	0
199	719161	719524	0	10249	0	0
200	719567	719568	0	10254	0	0
201	722308	722589;722590;722591	0;0;0	10336;10337;10338	10339	0
202	722851	722852;722853	0;0	10358;10357	0	0
203	724337	724338;724339	0;0	10439;10437	0	0
204	724340	724341	0	10421	0	0
205	55489	729883	0	10533	0	0
206	55489	729884	0	10534	0	0
207	55489	729885;729886	0;0	10535;10536	0	0
208	55489	729887;729888	0;0	10537;10540	10541	0
209	55489	729889;729890	0;0	10538;10540	10541	0
210	55489	729891;729892	0;0	10539;10540	10541	0
211	55489	729893	0	10542	0	0
212	55489	729894;729895	0;0	10543;10545	10546	0
213	55489	729896;729897	0;0	10544;10545	10546	0
214	55489	729898	0	10547	0	0
215	55489	729899;729900	0;0	10548;10550	10551	0
216	55489	729901;729902	0;0	10549;10550	10551	0
217	55489	729903	0	10552	0	0
218	55489	729904	0	0	0	0
219	55489	730383	0	10565	0	0
220	55489	734690;734691;734692	0;1;0	0;220;10881	0	0
221	2007860	2007859	0	11278	0	0
222	2007870	2007869	0	11279	0	0
223	2007874	2007873	0	11280	0	0
