ID	PNGName	DevX	DevY	StorySide	FigueName	FacePosition	FlipOnOtherSide	Scale	BaseScale
102	Kiana/102	0.5	0.62	1	204553	0;0	0	1	1
103	Kiana/103	0.5	0.62	1	204553	0;0	0	1	1
104	Kiana/104	0.5	0.62	1	204553	0;0	0	1	1
105	Run/105	0.5	0.55	2	204553	0;0	0	1	1
106	Run/106	0.5	0.55	1	204553	0;0	0	1	1
107	Kiana/107	0.5	0.58	2	204553	0;0	0	1	1
108	Kiana/108	0.5	0.62	1	204553	0;0	0	1	1
109	Kiana/109	0.5	0.62	1	204553	0;0	0	1	1
110	Kiana/110	0.5	0.58	2	204584	0;0	0	1	1
111	Kiana/111	0.5	0.62	2	204553	511;812.88	0	1	1
112	Kiana/112	0.5	0.61	1	204553	495;903.04	0	1	1
113	Kiana/113	0.5	0.58	1	204553	0;0	0	1	1
117	Kiana/117	0.5	0.59	1	204553	402.7;878.5	0	0.95	1
119	Kiana/119	0.5	0.58	1	204553	0;0	0	1	1
121	Kyujou/121	0.5	0.58	1	204592	482;882.92	0	1	1
122	Kyujou/121	0.5	0.58	2	204592	482;882.92	0	1	1
123	Kyujou/123	0.5	0.58	2	204592	0;0	0	1	1
124	Kyujou/124	0.5	0.58	1	204592	534.9;874	0	1	1
130	Kiana/130	0.5	0.3	1	204553	0;0	0	1	1
131	Kiana/131	0.5	0.3	1	204554	0;0	0	1	1
132	Kiana/132	0.5	0.3	1	204555	0;0	0	1	1
133	Kiana/133	0.5	0.3	1	204556	0;0	0	1	1
134	Kiana/134	0.5	0.3	1	204557	0;0	0	1	1
135	Kiana/135	0.5	0.38	1	204561	0;0	0	1	1
201	Mei/201	0.5	0.6	1	204554	0;0	0	1	1
202	Mei/202	0.5	0.6	1	204554	0;0	0	1	1
203	Mei/203	0.5	0.6	1	204554	0;0	0	1	1
204	Run/204	0.5	0.55	1	204554	0;0	0	1	1
205	Run/205	0.5	0.55	1	204554	0;0	0	1	1
211	Mei/211	0.5	0.55	2	204554	0;0	0	1	1
212	Mei/212	0.5	0.55	1	204576	0;0	0	1	1
213	Mei/213	0.5	0.3	1	204577	0;0	0	1	1
214	Mei/214	0.5	0.55	2	204554	0;0	0	1	1
215	Mei/201	0.5	0.6	2	204554	0;0	0	1	1
216	Mei/216	0.5	0.6	1	204554	496;907.9	0	1	1
217	Mei/217	0.5	0.58	2	204736	505.2;872.9	0	1	1
218	Mei/217	0.5	0.58	2	204584	505.2;872.9	0	1	1
219	Mei/219	0.5	0.58	1	204554	0;0	0	1	1
301	Bronya/301	0.5	0.55	1	204555	0;0	0	1	1
302	Bronya/302	0.5	0.55	1	204555	0;0	0	1	1
303	Run/303	0.5	0.55	1	204555	0;0	0	1	1
304	Bronya/304	0.5	0.55	2	204555	450;849	0	1	1
305	Bronya/305	0.5	0.55	1	204555	482;882.92	0	1	1
307	Bronya/307	0.5	0.58	1	204555	527;860	0	1	1
311	Seele/311	0.5	0.55	1	204561	0;0	0	1	1
312	Seele/312	0.5	0.55	1	204561	0;0	0	1	1
313	Seele/313	0.5	0.55	1	204561	0;0	0	1	1
314	Seele/314	0.5	0.55	1	204561	0;0	0	1	1
315	Seele/315	0.5	0.55	1	204561	0;0	0	1	1
316	Seele/316	0.5	0.55	1	204561	0;0	0	1	1
317	Seele/317	0.5	0.55	1	204561	0;0	0	1	1
318	Partner/1163	0.5	0.58	1	204561	498;861	0	1	1
401	Himeko/401	0.5	0.57	1	204556	0;0	0	1	1
402	Run/402	0.5	0.57	2	204556	0;0	0	1	1
403	Partner/1038	0.5	0.55	2	204601	0;0	0	1	1
404	Partner/1036	0.5	0.5	2	204599	0;0	0	1	1
405	Partner/1037	0.5	0.57	2	204600	0;0	0	1	1
406	Partner/1039	0.5	0.49	2	1642	0;0	0	1	1
407	Partner/1040	0.5	0.49	2	1650	0;0	0	1	1
408	Partner/1041	0.5	0.56	2	204602	0;0	0	1	1
409	Partner/1036	0.5	0.5	2	204584	0;0	0	1	1
411	Theresa/411	0.5	0.3	1	204557	0;0	0	1	1
412	Theresa/412	0.5	0.52	2	204557	0;0	0	1	1
413	Theresa/413	0.5	0.54	1	204557	468;787.98	0	1	1
414	Theresa/414	0.5	0.53	1	204557	0;0	0	1	1
415	Theresa/415	0.5	0.52	1	204557	468;787.98	0	1	1
433	Partner/1188	0.5	0.61	1	204840	539;929	0	1	1
434	Partner/1189	0.5	0.55	1	204838	582;861	0	0.96	1
435	Partner/1205	0.5	0.52	1	204839	546;745	0	0.93	1
436	Partner/1205	0.5	0.52	1	204854	546;745	0	0.93	1
437	Partner/1207	0.5	0.55	1	204841	547;874	0	1	1
438	Theresa/438	0.5	0.55	2	204758	550;887	0	1	1
439	DokiDoki/435	0.5	0.6	1	204879	517.1;857.1	0	1	1
440	DokiDoki/436	0.5	0.63	1	204880	523;911	0	1	1
441	DokiDoki/437	0.5	0.6	1	204882	544;876	0	1	1
442	DokiDoki/438	0.5	0.6	1	204883	533;886	0	1	1
443	DokiDoki/439	0.5	0.6	1	204881	527;890	0	1	1
444	Kevin/802	0.5	0.3	2	204888	0;0	0	1	1
445	Kevin/802	0.5	0.3	2	204889	0;0	0	1	1
446	Boss3/672	0.5	0.58	1	204585	556;837	0	1	1
447	Boss3/673	0.5	0.35	1	204561	0;0	0	1	1
448	Boss3/673	0.5	0.35	1	204585	0;0	0	1	1
449	Boss3/673	0.5	0.35	1	204543	0;0	0	1	1
450	Boss3/674	0.5	0.38	1	204561	0;0	0	1	1
451	Boss3/675	0.5	0.38	1	204561	0;0	0	1	1
452	Boss3/675	0.5	0.38	1	204585	0;0	0	1	1
453	Boss3/675	0.5	0.38	1	204543	0;0	0	1	1
454	Boss3/676	0.5	0.38	1	204561	0;0	0	1	1
455	Boss3/676	0.5	0.38	1	204585	0;0	0	1	1
456	Boss3/677	0.5	0.38	1	204561	0;0	0	1	1
457	Boss3/677	0.5	0.38	1	204585	0;0	0	1	1
458	Boss3/677	0.5	0.38	1	204543	0;0	0	1	1
459	Boss3/678	0.5	0.38	1	204585	0;0	0	1	1
460	Partner/1234	0.5	0.58	1	204903	0;0	0	1	1
461	Pet/461	0.5	0.36	1	432333	0;0	0	1	1
462	Pet/462	0.5	0.4	1	71172	0;0	0	1	1
463	CrossFactionBattle5/001	0.5	0.4	1	71172	564;594.7	0	1	1
464	CrossFactionBattle5/002	0.5	0.4	1	1866	520.8;614	0	1	1
465	CrossFactionBattle5/003	0.5	0.4	1	1776	487.5;597.8	0	1	1
466	CrossFactionBattle5/004	0.5	0.4	1	131027	513.8;593.7	0	1	1
467	CrossFactionBattle5/005	0.5	0.4	1	432333	554.7;605.1	0	1	1
468	CrossFactionBattle5/006	0.5	0.4	1	1906	463.9;603	0	1	1
469	Partner/1320	0.5	0.51	1	204555	533;796.9	0	1	1
470	Partner/1321	0.5	0.6	1	204553	0;0	0	1	1
471	Partner/1322	0.5	0.47	1	204621	441;765.3	0	1	1
472	Partner/1324	0.5	0.57	1	204720	0;0	0	1	1
473	Boss3/695	0.5	0.6	1	432743	0;0	0	1	1
474	Boss2/531	0.5	0.45	1	432744	0;0	0	1	1
475	Partner/1318	0.5	0.5	1	204720	442;838	0	1	1
476	Partner/1345	0.5	0.53	1	204620	485.4;815	0	1	1
477	Homu/009	0.5	0.26	1	204553	0;0	0	1	1
478	Homi/701	0.5	0.26	1	204618	0;0	0	1	1
479	Boss2/532	0.5	0.55	1	432796	0;0	0	1.1	1
480	Mei/221	0.5	0.5	1	432797	0;0	0	1	1
481	Mei/222	0.5	0.58	1	432798	485;872	0	1	1
482	Kevin/802	0.5	0.3	2	320351	0;0	0	1	1
483	Kevin/802	0.5	0.3	2	320358	0;0	0	1	1
484	Kevin/802	0.5	0.3	2	320359	0;0	0	1	1
485	Kana/001	0.5	0.58	1	204606	515;901	0	1	1
486	Kana/002	0.5	0.58	1	204606	515;901	0	1	1
487	Kana/002	0.5	0.58	1	432831	515;901	0	1	1
488	Kevin/802	0.5	0.3	2	432832	0;0	0	1	1
489	Kana/001	0.5	0.58	1	432831	515;901	0	1	1
490	Revue/490	0.5	0.54	1	432942	0;0	0	1	1
491	Revue/491	0.5	0.54	1	432943	0;0	0	1	1
492	Revue/492	0.5	0.54	1	432944	0;0	0	1	1
493	Revue/493	0.5	0.54	1	432948	0;0	0	1	1
494	Revue/494	0.5	0.54	1	432947	0;0	0	1	1
495	Boss3/495	0.5	0.6	1	432743	0;0	0	1	1
496	Partner/1386	0.5	0.54	1	204903	0;0	0	1.1	1
497	Ningdi/38	0.5	0.48	1	204688	0;0	0	1	1
498	Partner/1382	0.5	0.6	1	204592	0;0	0	1	1
499	Partner/1383	0.5	0.55	1	204720	0;0	0	1	1
501	Silver/501	0.5	0.3	2	204558	0;0	0	1	1
502	Silver/502	0.5	0.53	2	204558	0;0	0	1	1
503	Partner/1022	0.5	0.49	2	72303	491;799.7	0	1	1
504	Partner/1024	0.5	0.57	1	204590	522.2;856.3	0	1	1
505	Partner/1021	0.5	0.47	2	71699	423.5;809.6	0	1	1
506	Kevin/802	0.5	0.5	2	80012	0;4	0	1	1
507	Partner/1004	0.5	0.56	2	204348	0;0	0	1	1
508	Kevin/802	0.5	0.5	2	12327	0;6	0	1	1
509	Kevin/802	0.5	0.5	2	12327	0;6	0	1	1
510	Partner/1094	0.5	0.52	1	204678	0;0	0	1	1
511	Boss2/511	0.5	0.5	1	204863	574.9;779	0	1	1
512	Boss2/512	0.5	0.5	1	204863	574.9;779	0	1	1
513	Partner/1220	0.5	0.54	1	204864	526;759.1	0	1.1	1
514	Partner/1276	0.5	0.54	1	204865	521;793	0	1	1
515	Partner/1325	0.5	0.57	1	204871	561;812	0	1	1
516	Partner/1323	0.5	0.54	1	204872	505;815	0	1	1
517	Boss2/517	0.5	0.54	1	204872	505;815	0	1	1
518	Boss2/518	0.5	0.45	1	293088	0;0	0	1.1	1
519	Boss2/521	0.5	0.57	1	204666	547;905	0	1	1
520	Boss2/522	0.5	0.6	1	204928	533;904	0	1	1
525	WorldBoss7/525	0.5	0.6	1	293135	514;819	0	1	1
526	Boss2/526	0.5	0.5	1	320351	514;819	0	1	1
527	Boss3/688	0.5	0.6	1	432292	0;0	0	1	1
528	0	0.5	0	1	432303	0;0	0	1	1
529	0	0.5	0	1	432304	0;0	0	1	1
530	0	0.5	0	1	432305	0;0	0	1	1
531	0	0.5	0	1	432306	0;0	0	1	1
532	WorldBoss6/883	0.5	0.56	2	432307	0;0	0	1.15	1
533	0	0.5	0	1	432308	0;0	0	1	1
534	0	0.5	0	1	432309	0;0	0	1	1
535	0	0.5	0	1	432310	0;0	0	1	1
536	0	0.5	0	1	432311	0;0	0	1	1
537	Kevin/802	0.5	0.3	2	320354	0;0	0	1	1
538	Boss3/692	0.5	0.6	1	432382	510;879	0	1	1
539	Boss3/693	0.5	0.6	1	432382	510;879	0	1	1
540	Boss3/694	0.5	0.55	1	432382	526;894	0	1	1
541	Zero/541	0.5	0.57	1	432344	0;0	0	1	1
542	Zero/542	0.5	0.58	1	432345	502;973	0	1	1
543	Zero/543	0.5	0.57	1	432346	523;883	0	1	1
544	Zero/541	0.5	0.57	1	432347	0;0	0	1	1
545	Zero/545	0.5	0.58	1	432348	508;902	0	1	1
546	Zero/546	0.5	0.58	1	432349	530;886	0	1	1
547	Zero/543	0.5	0.57	1	432350	523;883	0	1	1
548	Zero/542	0.5	0.58	1	432351	502;973	0	1	1
549	Zero/549	0.5	0.46	1	432352	0;0	0	1	1
550	Zero/546	0.5	0.58	1	432353	530;886	0	1	1
551	Zero/551	0.5	0.59	1	432354	480;926	0	1	1
552	Zero/552	0.5	0.54	1	432355	506;784	0	1	1
553	Zero/553	0.5	0.54	1	432356	0;0	0	1	1
554	Zero/554	0.5	0.58	1	432357	0;0	0	1	1
555	Zero/555	0.5	0.56	1	432358	0;0	0	1	1
556	Zero/556	0.5	0.55	1	432359	0;0	0	1	1
557	Zero/557	0.5	0.56	1	432360	540;869	0	1	1
558	Zero/557	0.5	0.56	1	432361	540;869	0	1	1
559	Zero/559	0.5	0.55	1	432362	552;850	0	1	1
560	Zero/560	0.5	0.55	1	432363	0;0	0	1	1
561	Zero/561	0.5	0.57	1	432364	0;0	0	1	1
562	Zero/555	0.5	0.56	1	432365	0;0	0	1	1
563	Zero/556	0.5	0.55	1	432366	0;0	0	1	1
564	Zero/556	0.5	0.55	1	432367	0;0	0	1	1
565	Kevin/802	0.5	0.5	1	432368	0;0	0	1	1
566	Kevin/802	0.5	0.5	1	432369	0;0	0	1	1
567	Kevin/802	0.5	0.5	1	432370	0;0	0	1	1
568	Kevin/802	0.5	0.5	1	432371	0;0	0	1	1
569	Kevin/802	0.5	0.5	1	432372	0;0	0	1	1
570	Kevin/802	0.5	0.5	1	432373	0;0	0	1	1
571	Kevin/802	0.5	0.5	1	432374	0;0	0	1	1
572	Kevin/802	0.5	0.5	1	432375	0;0	0	1	1
573	Kevin/802	0.5	0.5	1	432376	0;0	0	1	1
574	Kevin/802	0.5	0.5	1	432377	0;0	0	1	1
575	Kevin/802	0.5	0.5	1	432378	0;0	0	1	1
576	Kevin/802	0.5	0.5	1	432379	0;0	0	1	1
577	Kevin/802	0.5	0.5	1	432380	0;0	0	1	1
578	Zero/559	0.5	0.55	1	204614	552;850	0	1	1
579	Kevin/802	0.5	0.5	1	204621	0;0	0	1	1
580	DokiDoki/580	0.5	0.6	1	432400	515.1;871.9	0	1	1
581	DokiDoki/581	0.5	0.6	1	432401	529;902	0	1	1
582	DokiDoki/582	0.5	0.58	1	432402	511;827	0	1	1
583	DokiDoki/583	0.5	0.55	1	432403	555;869	0	1	1
584	Partner/1310	0.5	0.35	1	432404	505;708.1	0	0.7	1
585	Theresa/585	0.5	0.5	1	204871	524;779	0	1	1
586	Himeko/411	0.5	0.5	1	320355	0;0	0	1	1
587	Himeko/587	0.5	0.5	1	320355	619;760	0	1	1
588	Himeko/588	0.5	0.54	1	204556	0;0	0	1	1
589	Boss2/529	0.5	0.5	1	293146	492;822	0	1	1
590	Himeko/411	0.5	0.5	1	320356	0;0	0	1	1
591	Partner/1311	0.5	0.5	1	432444	0;0	0	1	1
592	Partner/1312	0.5	0.5	1	432445	0;0	0	1	1
593	Partner/1316	0.5	0.32	1	204720	0;0	0	1	1
594	Pet/594	0.5	0.5	1	3789	0;0	0	1	1
595	Kevin/802	0.5	0.3	2	320357	0;0	0	1	1
596	Kevin/802	0.5	0.3	2	1670	0;0	0	1	1
601	Pet/601	0.5	0.4	2	204559	0;0	0	1	1
602	Pet/602	0.5	0.4	1	204560	0;0	0	1	1
603	Seele/603	0.5	0.55	2	204561	0;0	0	1	1
604	Boss3/604	0.5	0.55	2	204561	0;0	0	1	1
605	Homi/701	0.5	0.55	1	204562	0;0	0	1	1
606	Carnival/606	0.5	0.58	2	204563	0;0	0	1	1
607	Carnival/607	0.5	0.3	2	204563	0;0	0	1	1
608	Kevin/802	0.5	0.3	1	204578	0;0	0	1	1
609	Kevin/802	0.5	0.3	2	204579	0;0	0	1	1
610	Forest/610	0.5	0.52	2	204564	0;0	0	1	1
611	Forest/611	0.5	0.54	1	204565	0;0	0	1	1
612	Forest/612	0.5	0.58	1	204566	496;904.92	0	1	1
613	Forest/613	0.5	0.3	2	204567	0;0	0	1	1
614	Carnival/614	0.5	0.52	2	204580	0;0	0	1	1
615	Carnival/615	0.5	0.52	2	204568	0;0	0	1	1
616	Pet/616	0.5	0.38	1	901	0;0	0	1	1
617	Pet/617	0.5	0.38	2	902	0;0	0	1	1
618	Forest/618	0.5	0.58	1	204566	0;0	0	1	1
619	LY/619	0.5	0.55	2	1200	0;0	0	1	1
620	Kevin/802	0.5	0.3	2	204581	0;0	0	1	1
621	Boss3/621	0.5	0.55	2	204581	0;0	0	1	1
622	Boss3/622	0.5	0.55	2	204581	0;0	0	1	1
623	Boss3/623	0.5	0.55	2	204561	0;0	0	1	1
624	Partner/1018	0.5	0.58	1	80010	542.4;913.9	0	1	1
625	Partner/1018	0.5	0.58	1	80010	542.4;913.9	0	1	1
627	Partner/1017	0.5	0.57	1	80009	518.8;894.2	0	1	1
631	Partner/1014	0.5	0.56	1	80006	582.9;860.5	0	1	1
633	Partner/1016	0.5	0.6	1	80008	491.1;913.2	0	1	1
638	Partner/1013	0.5	0.57	1	80005	549;880	0	1	1
639	Partner/1013	0.5	0.57	1	80005	549;880	0	1	1
642	Partner/1015	0.5	0.57	1	80007	544.7;935.9	0	1	1
645	Kevin/802	0.5	0.48	1	204583	0;0	0	1	1
646	Kevin/802	0.5	0.48	1	204583	0;0	0	1	1
648	Partner/1012	0.5	0.56	1	80004	0;0	0	1	1
650	Partner/1012	0.5	0.56	1	80004	0;0	0	1	1
651	Partner/1012	0.5	0.56	1	204584	0;0	0	1	1
652	Kevin/802	0.5	0.4	1	204584	0;0	0	1	1
655	Partner/1011	0.5	0.6	1	80003	454.6;913.3	0	1	1
656	Seele/656	0.5	0.5	1	204561	0;0	0	1	1
657	Seele/657	0.5	0.5	1	204577	0;0	0	1	1
658	Boss3/658	0.5	0.51	2	204561	0;0	0	1	1
659	Boss3/659	0.5	0.51	2	204561	0;0	0	1	1
660	Boss3/660	0.5	0.51	2	204585	0;0	0	1	1
661	Boss3/661	0.5	0.51	2	204585	0;0	0	1	1
662	Boss3/662	0.5	0.51	1	204555	0;0	0	1	1
663	Boss3/663	0.5	0.51	1	204555	0;0	0	1	1
664	Boss3/664	0.5	0.51	2	204586	0;0	0	1	1
665	Seele/665	0.5	0.53	2	204585	514;841	0	1	1
666	Boss3/666	0.5	0.55	2	901	0;0	0	1	1
667	Pet/617	0.5	0.38	2	902	0;0	0	1	1
668	Kiana/101	0.5	0.62	0	204587	0;0	0	1	1
669	Boss3/669	0.5	0.56	2	204585	475;802	0	1	1
670	Boss3/670	0.5	0.51	2	204585	0;0	0	1	1
671	Boss3/671	0.5	0.58	2	291819	0;0	0	1	1
672	Pet/672	0.5	0.62	1	1901	0;0	0	1	1
673	Pet/673	0.5	0.58	2	1900	0;0	0	1	1
674	FactionBattle5/674	0.5	0.54	1	131027	509.5;777.4	0	1	1
675	FactionBattle5/675	0.5	0.51	2	150301	503.7;799.8	0	1	1
676	FactionBattle5/676	0.5	0.45	1	110304	514.5;744.3	0	1	1
677	FactionBattle5/677	0.5	0.51	2	71839	509.8;837.2	0	1	1
678	FactionBattle5/678	0.5	0.55	2	71172	512.2;827.7	0	1	1
679	FactionBattle5/679	0.5	0.54	1	71737	512;835	0	1	1
680	FactionBattle5/680	0.5	0.51	1	120301	518;742.1	0	1	1
681	Pet/681	0.5	0.49	2	1710	0;0	0	1	1
682	Pet/682	0.5	0.49	2	1721	0;0	0	1	1
683	Partner/1023	0.5	0.57	1	12327	506.1;853.8	0	1	1
684	Partner/1027	0.5	0.52	1	11053	507.5;821.5	0	1	1
685	CrossFactionBattle/685	0.5	0.4	1	1699	492;615.1	0	1	1
686	CrossFactionBattle/686	0.5	0.4	1	71737	411;617.1	0	1	1
687	CrossFactionBattle/687	0.5	0.4	1	120301	492;615.1	0	1	1
688	CrossFactionBattle/688	0.5	0.4	1	1659	492;588.1	0	1	1
689	CrossFactionBattle/689	0.5	0.4	1	1754	520;617	0	1	1
690	CrossFactionBattle/690	0.5	0.4	1	71839	492;615.1	0	1	1
691	CrossFactionBattle/691	0.5	0.33	2	204687	0;0	0	1	1
692	Kevin/692	0.5	0.64	1	204607	498;878.94	0	1	1
693	Kevin/693	0.5	0.64	2	15376	0;0	0	1	1
694	Kevin/694	0.5	0.56	2	204735	0;0	0	1	1
695	Kevin/695	0.5	0.59	2	1960	493;843.94	0	1	1
696	Kevin/696	0.5	0.1	2	1962	0;0	0	1	1
697	Kevin/697	0.5	0.3	2	150311	0;0	0	1	1
698	Kevin/698	0.5	0.5	1	1962	0;0	0	1	1
699	Kevin/802	0.5	0.3	2	320352	0;0	0	1	1
700	Kevin/802	0.5	0.3	2	320353	0;0	0	1	1
701	Homi/701	0.5	0.26	1	204562	0;0	0	1	1
702	Nuan/702	0.5	0.35	2	204569	0;0	0	1	1
703	Kevin/802	0.5	0.3	2	204571	0;0	0	1	1
704	BloodLine/704	0.5	0.54	2	204571	0;0	0	1	1
705	BloodLine/705	0.5	0.54	2	903	0;0	0	1	1
706	Kevin/802	0.5	0.3	2	904	0;0	0	1	1
707	BloodLine/707	0.5	0.55	2	71822	0;0	0	1	1
708	Kevin/708	0.5	0.3	2	204582	0;0	0	1	1
709	Kevin/802	0.5	0.25	2	204584	0;0	0	1	1
710	Kevin/802	0.5	0.25	2	204584	0;0	0	1	1
711	Kevin/802	0.5	0.25	2	204584	0;0	0	1	1
712	Kevin/802	0.5	0.25	2	204584	0;0	0	1	1
713	Kevin/802	0.5	0.25	2	204584	0;0	0	1	1
714	Kevin/802	0.5	0.3	2	204584	0;0	0	1	1
715	Kevin/802	0.5	0.3	2	204584	0;0	0	1	1
716	Nuan/716	0.5	0.35	2	204609	0;0	0	1	1
717	Nuan/702	0.5	0.35	2	204584	0;0	0	1	1
718	Nuan/716	0.5	0.35	2	204584	0;0	0	1	1
719	CrossFactionBattle2/719	0.5	0.55	1	204752	529.7;784.2	0	1	1
720	CrossFactionBattle2/720	0.5	0.56	2	204753	500.5;819.7	0	1	1
721	CrossFactionBattle2/721	0.5	0.54	1	204754	491;804.2	0	1	1
722	Pet/722	0.5	0.4	2	1906	0;0	0	1	1
723	Pet/723	0.5	0.4	2	1866	0;0	0	1	1
724	Pet/724	0.5	0.4	2	1600	0;0	0	1	1
725	Pet/725	0.5	0.4	2	1802	0;0	0	1	1
726	Kevin/726	0.5	0.35	2	204555	0;0	0	1	1
727	Kevin/727	0.5	0.35	2	204561	0;0	0	1	1
728	Kevin/728	0.5	0.35	2	204585	0;0	0	1	1
729	CrossFactionBattle3/729	0.5	0.55	1	204817	0;0	0	1	1
730	CrossFactionBattle3/730	0.5	0.55	1	204818	0;0	0	1	1
731	CrossFactionBattle3/731	0.5	0.55	1	204819	0;0	0	1	1
732	CrossFactionBattle3/732	0.5	0.55	1	204817	0;0	0	1	1
733	CrossFactionBattle3/733	0.5	0.55	1	204818	0;0	0	1	1
734	CrossFactionBattle3/734	0.5	0.55	1	204819	0;0	0	1	1
735	CrossFactionBattle3/735	0.5	0.42	2	150301	0;0	0	1	1
736	CrossFactionBattle3/736	0.5	0.42	2	171029	0;0	0	1	1
737	CrossFactionBattle3/737	0.5	0.42	2	110306	512;675	0	1	1
738	CrossFactionBattle3/738	0.5	0.42	2	1802	0;0	0	1	1
